Sorter: BubbleSortUntilNoChange, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.606 ms
Sorter: BubbleSortUntilNoChange, Distribution: Inverse-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.604 ms
Sorter: BubbleSortUntilNoChange, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 65.188 ms
Sorter: BubbleSortUntilNoChange, Distribution: Inverse-sorted, DataType: String, ArraySize: 2500, InputSize: Long, Time: 77.324 ms
Sorter: BubbleSortUntilNoChange, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Short, Time: 11833.098 ms
Sorter: BubbleSortUntilNoChange, Distribution: Inverse-sorted, DataType: String, ArraySize: 25000, InputSize: Long, Time: 10571.389 ms

Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 2.116 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 2.128 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 61.733 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 38.805 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 3259.068 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 2974.355 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Short, Time: 2.196 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Double, ArraySize: 250, InputSize: Long, Time: 2.112 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 27.916 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 17.210 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 2845.004 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 3236.656 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Short, Time: 1.463 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.702 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Short, Time: 57.020 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: String, ArraySize: 2500, InputSize: Long, Time: 40.996 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: String, ArraySize: 25000, InputSize: Short, Time: 6568.670 ms
Sorter: BubbleSortWhileNeeded, Distribution: Random, DataType: String, ArraySize: 25000, InputSize: Long, Time: 5776.240 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Integer, ArraySize: 250, InputSize: Short, Time: 0.014 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Integer, ArraySize: 250, InputSize: Long, Time: 0.003 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Integer, ArraySize: 2500, InputSize: Short, Time: 0.032 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Integer, ArraySize: 2500, InputSize: Long, Time: 0.033 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Integer, ArraySize: 25000, InputSize: Short, Time: 0.171 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Integer, ArraySize: 25000, InputSize: Long, Time: 0.167 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Double, ArraySize: 250, InputSize: Short, Time: 0.002 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Double, ArraySize: 250, InputSize: Long, Time: 0.002 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Double, ArraySize: 2500, InputSize: Short, Time: 0.014 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Double, ArraySize: 2500, InputSize: Long, Time: 0.015 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Double, ArraySize: 25000, InputSize: Short, Time: 0.148 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: Double, ArraySize: 25000, InputSize: Long, Time: 0.144 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: String, ArraySize: 250, InputSize: Short, Time: 0.004 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: String, ArraySize: 250, InputSize: Long, Time: 0.004 ms
Sorter: BubbleSortWhileNeeded, Distribution: Pre-sorted, DataType: String, ArraySize: 2500, InputSize: Short, Time: 0.046 ms
